app_name,window_title,category
code.exe,Visual Studio Code,productive
spotify.exe,Spotify - Music,distracting
chrome.exe,Google Docs - Assignment,productive
slack.exe,Slack - Project,productive
notion.exe,Notion - Notes,productive
spotify.exe,Spotify - Music,distracting
chrome.exe,Google Docs - Assignment,productive
cmd.exe,Command Prompt,productive
explorer.exe,Windows Explorer,productive
cmd.exe,Command Prompt,productive
code.exe,Visual Studio Code,productive
notion.exe,Notion - Notes,productive
facebook.exe,Facebook - Feed,distracting
facebook.exe,Facebook - Feed,distracting
whatsapp.exe,WhatsApp Web,distracting
whatsapp.exe,WhatsApp Web,distracting
cmd.exe,Command Prompt,productive
code.exe,Visual Studio Code,productive
chrome.exe,YouTube - Entertainment,distracting
chrome.exe,YouTube - Entertainment,distracting
whatsapp.exe,WhatsApp Web,distracting
facebook.exe,Facebook - Feed,distracting
whatsapp.exe,WhatsApp Web,distracting
chrome.exe,Netflix,distracting
zoom.exe,Zoom Meeting - Class,productive
chrome.exe,YouTube - Entertainment,distracting
code.exe,Visual Studio Code,productive
explorer.exe,Windows Explorer,productive
notion.exe,Notion - Notes,productive
slack.exe,Slack - Project,productive
chrome.exe,Google Docs - Assignment,productive
explorer.exe,Windows Explorer,productive
instagram.exe,Instagram App,distracting
notion.exe,Notion - Notes,productive
chrome.exe,Google Docs - Assignment,productive
code.exe,Visual Studio Code,productive
whatsapp.exe,WhatsApp Web,distracting
chrome.exe,Netflix,distracting
teams.exe,Microsoft Teams,productive
chrome.exe,Google Docs - Assignment,productive
explorer.exe,Windows Explorer,productive
code.exe,Visual Studio Code,productive
chrome.exe,Google Docs - Assignment,productive
chrome.exe,ChatGPT - Studying,productive
chrome.exe,YouTube - Entertainment,distracting
chrome.exe,YouTube - Entertainment,distracting
slack.exe,Slack - Project,productive
explorer.exe,Windows Explorer,productive
code.exe,Visual Studio Code,productive
spotify.exe,Spotify - Music,distracting
explorer.exe,Windows Explorer,productive
notion.exe,Notion - Notes,productive
instagram.exe,Instagram App,distracting
teams.exe,Microsoft Teams,productive
spotify.exe,Spotify - Music,distracting
teams.exe,Microsoft Teams,productive
cmd.exe,Command Prompt,productive
code.exe,Visual Studio Code,productive
slack.exe,Slack - Project,productive
spotify.exe,Spotify - Music,distracting
whatsapp.exe,WhatsApp Web,distracting
facebook.exe,Facebook - Feed,distracting
slack.exe,Slack - Project,productive
teams.exe,Microsoft Teams,productive
zoom.exe,Zoom Meeting - Class,productive
cmd.exe,Command Prompt,productive
instagram.exe,Instagram App,distracting
chrome.exe,ChatGPT - Studying,productive
facebook.exe,Facebook - Feed,distracting
instagram.exe,Instagram App,distracting
slack.exe,Slack - Project,productive
whatsapp.exe,WhatsApp Web,distracting
code.exe,Visual Studio Code,productive
notion.exe,Notion - Notes,productive
explorer.exe,Windows Explorer,productive
slack.exe,Slack - Project,productive
chrome.exe,ChatGPT - Studying,productive
facebook.exe,Facebook - Feed,distracting
notion.exe,Notion - Notes,productive
chrome.exe,ChatGPT - Studying,productive
facebook.exe,Facebook - Feed,distracting
chrome.exe,ChatGPT - Studying,productive
slack.exe,Slack - Project,productive
chrome.exe,ChatGPT - Studying,productive
instagram.exe,Instagram App,distracting
explorer.exe,Windows Explorer,productive
cmd.exe,Command Prompt,productive
teams.exe,Microsoft Teams,productive
facebook.exe,Facebook - Feed,distracting
chrome.exe,ChatGPT - Studying,productive
notion.exe,Notion - Notes,productive
whatsapp.exe,WhatsApp Web,distracting
facebook.exe,Facebook - Feed,distracting
code.exe,Visual Studio Code,productive
cmd.exe,Command Prompt,productive
slack.exe,Slack - Project,productive
chrome.exe,ChatGPT - Studying,productive
chrome.exe,YouTube - Entertainment,distracting
chrome.exe,Netflix,distracting
cmd.exe,Command Prompt,productive
vlc.exe,Movies - VLC media player,distracting
vlc.exe,VLC media player,distracting
